pH,Temperature,Turbidity,DO,Conductivity,Survivable_Fish
6.522574248031496,24.637543610475046,2.552690244167013,12.586836407896149,902.7469388147875,"Tilapia, Koi Carp"
6.3758741853338545,22.001630111811025,1.752150631489151,3.1600528889456694,972.1160868773137,Tilapia
8.507813328057122,22.132886184293977,22.609444259247553,11.709984003824358,906.8697320007976,Tilapia
6.185404462209258,28.88961125233208,17.846251022961226,6.334297165350755,457.04132034963334,Tilapia
7.55099330425125,14.070900943856909,12.238264966026101,9.109073965186543,288.64325696796277,"Goldfish, Koi Carp"
8.128440860107311,27.4953980466446,3.3777728455955636,6.821303630388535,106.17913471355484,"Tilapia, Guppy, Mrigal, Silver Carp"
6.809130271630534,23.451713876951437,10.23860362270411,14.104609980685487,272.2205537357245,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
8.477475684254925,19.2097318662113,3.7786667224606107,11.455054558886363,404.32169649586734,"Guppy, Mrigal, Silver Carp"
6.854269113014229,22.657521360546,26.5145685105433,14.37872559865758,436.70240629077426,"Tilapia, Silver Carp"
8.433689615109884,34.02471895256974,18.15587528305199,4.469753881319013,369.49419004673456,Tilapia
7.582597145170821,19.552684883010606,25.582530849484403,4.730486445011845,238.68735478784177,Silver Carp
7.650447733106856,20.50668105784655,9.302797621154948,6.145165341611792,544.629807265434,"Guppy, Mrigal, Silver Carp, Koi Carp"
8.43664303252046,32.13175483841232,21.308891042629607,9.86084680974669,439.01007914632333,Tilapia
7.54443082828786,32.761985335889634,11.814361013763595,7.419673145179716,647.1240715416558,Tilapia
6.871170716923741,20.837096410440502,24.43950188146513,9.884807643855682,605.9447103905198,"Mrigal, Silver Carp"
7.382800198705872,22.22398025270511,9.02371472816844,9.01441106370962,813.7920655830933,"Tilapia, Koi Carp"
7.971149726198558,20.942545855396702,25.040499237642283,6.04920268230356,742.1979802191236,Silver Carp
7.51710525964458,19.777181475257596,3.201971345847401,11.574622419126422,635.6016868855005,"Mrigal, Silver Carp, Koi Carp"
7.611971203856806,12.520189214397206,7.237066089234725,13.69945071018701,110.27627011527649,"Goldfish, Koi Carp"
6.5478352822466785,16.76177990943585,19.607901696063458,9.210232422207143,715.9414673983999,Koi Carp
8.515914649081097,30.887090571185873,2.3243392688578934,6.132517389056574,778.3620376032662,Tilapia
6.7510994797036625,29.091003970966778,25.350790922770518,14.745283265595496,887.4829080383595,Tilapia
8.827441608144294,32.02614776319896,1.9585483929311698,4.28349210617818,889.5619940565817,Tilapia
7.066141405342814,33.60034013432178,11.95774604475622,9.264483512364086,585.869091459576,Tilapia
7.882939248782826,30.2695384825393,23.629791766550646,10.148148926132933,454.1674435450145,"Tilapia, Mrigal, Silver Carp"
6.586174277319984,17.67477041505996,6.217662563336899,13.240401114071304,432.383359887654,"Goldfish, Koi Carp"
7.8072942893505015,20.989174786033015,1.433710056726527,14.436843312609085,189.05362357571437,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
7.702759029282436,17.992824830319137,17.253080805857984,11.92813592537218,1185.6250033901913,Koi Carp
6.671568445368625,17.674713229031894,9.699314121133309,7.718087607714912,972.3987828393974,Koi Carp
7.126912353876397,32.394780374603386,12.735964713138387,12.188989311380874,860.9907904645673,Tilapia
8.436336403386985,22.865196698858554,4.427682961184645,4.534108067694222,447.9448319256327,"Tilapia, Mrigal, Silver Carp"
6.832147883095116,19.137579112648314,16.19419857706135,11.640209604416489,1092.6765333606668,Koi Carp
6.6904291501809,33.39435608203871,7.179682893843498,6.789951038339577,657.3100549245704,Tilapia
8.236581453615662,21.95042395967819,16.01804980981113,8.446405278844953,302.772575230711,"Mrigal, Silver Carp"
7.4709532131416765,27.170409477924938,0.09235090346968011,14.907158977756492,429.2101210516094,"Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
8.469780855081755,25.99086070147971,18.91135891035993,14.30085532474212,512.6634177191904,"Tilapia, Mrigal, Silver Carp"
8.028185185283498,29.593476050646387,20.35736607005417,13.699208576733119,616.0563337025438,"Tilapia, Mrigal, Silver Carp"
8.411823091644964,18.270872999001625,16.326266729240523,7.160701515269734,219.83947472158508,"Mrigal, Silver Carp"
6.949970532203222,24.336452061240188,19.59297024369851,9.850835001608072,501.05021039432006,"Tilapia, Mrigal, Silver Carp, Koi Carp"
6.581018242670514,27.344575830778716,11.572805444093381,4.609317735832962,841.0478550296739,Tilapia
6.147589132353512,34.372063389768805,3.843809318875251,3.1493573087645945,770.6840179198465,Tilapia
7.275166830724395,30.133926683191188,10.298078372958535,11.532604802069738,730.6411159275987,"Tilapia, Silver Carp"
8.910596434297872,32.7983445397379,22.448922715601768,6.395172731999442,415.4406280183945,Tilapia
6.468302235829233,25.573139754641673,7.8194603832801635,10.51337812892541,339.02459060457227,Tilapia
6.944885318853347,13.796249673353916,4.131339164281984,13.12602448863428,845.5970742720926,Koi Carp
7.578180601523867,27.76260229450103,22.175960935190545,5.490017653717065,516.7365877795539,"Tilapia, Mrigal, Silver Carp"
7.203667544018789,10.839193047481661,6.642505296558925,11.123593230035405,575.2805605548081,Koi Carp
